seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff
2182,178766,41022,100715,-60.443462618824825,67.22432822722686,13.0
2184,178812,41020,100720,-61.57707326515702,71.383556061075,26.0
2185,178815,41016,100716,-65.21359677206469,67.06802646644998,3.0
2187,178863,41007,100725,-73.60424316483405,75.4141473502634,28.0
2188,178881,41014,100725,-66.29351855728478,75.05062571156917,18.0
2189,178894,41022,100727,-58.02333932740964,76.67293942406906,13.0
2192,178965,41011,100735,-68.02495756779743,83.37238105397068,31.0
2193,178982,41004,100742,-75.09494898039426,89.67665493738323,17.0
2194,178998,41014,100740,-64.44894392624843,87.26680656104263,16.0
2197,179063,41016,100743,-61.55902374076136,89.13928453669865,25.0
2201,179139,41028,100732,-47.70559472241408,76.35034990168701,16.0
2202,179155,41026,100724,-50.01066951972249,68.09591067854147,16.0
2203,179194,41010,100724,-65.62768132566418,67.67158971729432,39.0
2206,179239,41009,100731,-65.73827618818189,73.62520352401168,5.0
2208,179275,41015,100720,-59.351390027736485,61.952774533537394,16.0
2209,179306,41019,100716,-55.38582560782605,57.956738507403735,31.0
2210,179322,41010,100716,-63.5651061903544,57.6448400600237,16.0
2211,179348,41004,100733,-68.97740428183252,74.00422906693353,26.0
2212,179367,41000,100721,-72.66852329015344,61.71092569326278,19.0
2214,179404,40999,100735,-73.10498149602395,75.15955361085226,17.0
2216,179445,41022,100740,-49.43962226590268,79.34098159870861,21.0
2217,179464,41031,100724,-40.4896413064664,63.05714452609445,19.0
2218,179480,41008,100747,-63.25157796785511,85.62342134063086,16.0
2219,179492,41022,100737,-49.004293874859066,75.22144900629623,12.0
2222,179571,41013,100739,-57.35069129258357,76.10617439634004,39.0
2223,179587,41008,100761,-61.992189640456985,97.50788005661522,16.0
2224,179606,41007,100746,-62.36671961887547,81.92645873660076,19.0
2226,179650,41000,100743,-68.8154785913141,78.52433646542906,24.0
2227,179672,41021,100753,-47.0680429097002,88.14543897194342,22.0
2231,179748,41019,100782,-49.76214207538169,114.45627783004024,16.0
2232,179764,41017,100798,-50.63836563631552,129.10260514879863,16.0
2233,179788,41004,100804,-64.06848510937708,135.0402328318356,24.0
2234,179796,41008,100791,-59.8079775297927,121.47697985946354,8.0
2237,179857,41019,100790,-47.54647389488275,118.41384402394628,21.0
2239,179911,41030,100806,-35.19130393930174,133.39524980147715,34.0
2240,179929,40990,100787,-74.33408051785413,113.7593107649952,18.0
2241,179942,41011,100788,-53.14180767486742,114.07930529596727,13.0
2243,179992,41021,100791,-44.4099855533071,116.08162719901787,30.0
2244,180013,41020,100791,-44.95201149669318,115.40693334971732,21.0
2245,180025,41010,100781,-54.65860691068984,104.7127578120763,12.0
2247,180061,41021,100787,-42.71813129635935,109.28875221220903,16.0
2248,180077,41018,100777,-46.51831985074524,99.13573659579863,16.0
2249,180111,41019,100785,-44.96298515672756,106.59877735677328,34.0
2251,180144,41016,100784,-47.08227317917108,104.4604364265583,13.0
2253,180180,41026,100794,-36.55672961767281,113.2981203360745,16.0
2254,180196,41031,100785,-31.59630251596846,103.66198774269628,16.0
2255,180209,41018,100792,-44.33998965873644,110.058106207976,13.0
2257,180262,41007,100776,-54.50305593943708,93.15524144443602,33.0
2260,180324,41013,100815,-48.13980451542061,130.44861485721492,22.0
2261,180341,41016,100801,-44.89891289639812,115.97193230927572,17.0
2262,180357,41011,100783,-49.4067914121749,97.40766288138948,16.0
2263,180387,41010,100799,-50.14062267080371,112.6289857045127,30.0
2265,180426,41003,100818,-57.02885290055727,130.4203396155792,19.0
2268,180482,41002,100795,-57.59042913604856,105.79546785774366,16.0
2269,180498,41013,100807,-45.86556364668568,117.07952119747316,16.0
2270,180517,41011,100817,-47.76201121539648,126.43488366624688,19.0
2271,180542,41008,100823,-51.02685292161628,131.80101521620986,25.0
2272,180561,41011,100822,-48.09628693949023,130.22905220017347,19.0
2273,180585,41013,100819,-46.07879059832016,126.61542279178823,24.0
2275,180630,41016,100814,-42.65443673704425,120.28630476579104,25.0
2277,180675,41017,100823,-41.50503544619008,128.30181756217846,25.0
2278,180682,40914,100813,-143.76461161274892,117.70956304735031,7.0
2280,180729,41011,100803,-44.81203903514391,106.42232758363023,27.0
2282,180765,41007,100817,-48.59066797666881,119.40465274925728,16.0
2284,180803,41004,100827,-51.73320853505194,128.04776544809596,18.0
2285,180821,40989,100822,-65.80186839213268,122.5116999058978,18.0
2286,180850,41008,100818,-46.56011643480402,117.79650946998756,29.0
2287,180872,41004,100799,-50.53767538837901,98.25555080913465,22.0
2290,180930,41003,100828,-51.019452858486,125.98065510516945,18.0
2291,180948,41007,100821,-46.74424871568164,118.24139346032432,18.0
2292,180964,40992,100814,-61.49446975887148,110.7335723656064,16.0
2293,180980,41001,100801,-52.28329202880364,97.4428539987234,16.0
2294,181012,41012,100820,-40.714643023136375,115.81401825844992,32.0
2297,181075,40991,100806,-61.19665959092593,100.06280071734815,23.0
2298,181091,40962,100816,-89.76956453257385,109.6779920010284,16.0
2299,181107,40933,100820,-118.41378822159696,113.0977042231722,16.0
2300,181123,41000,100815,-50.934443362187416,107.22874665817206,16.0
2301,181147,40992,100801,-59.47144377798492,92.93419843491178,24.0
2302,181173,40996,100792,-54.82339445213757,83.44954661929339,26.0
2305,181232,40986,100798,-63.25509493829486,87.89471774574714,19.0
2306,181249,40982,100819,-67.61354997437621,108.54152237503897,17.0
2307,181265,40988,100804,-60.95875257432907,93.33076444625098,16.0
2308,181281,40991,100799,-57.21502864421995,87.71169972924838,16.0
2309,181302,40991,100829,-56.8106523844116,117.00906873777772,21.0
2312,181365,41007,100831,-40.6213399948622,117.47900229073475,23.0
2313,181381,41004,100813,-43.41586175808823,98.8843842360646,16.0
2314,181412,40982,100829,-64.95597316279634,114.1000647917526,31.0
2315,181419,41007,100761,-39.81547234378556,45.91858693041933,7.0
2317,181457,40983,100808,-63.15441924053083,92.20152586131532,18.0
2320,181532,40984,100810,-61.40965860130186,92.45561614624089,35.0
2321,181548,40956,100822,-88.4281603978658,104.03833759848624,16.0
2322,181564,40994,100819,-50.64211306061662,99.93589532286326,16.0
2323,181586,40980,100826,-65.50231867866827,107.3694709219704,22.0
2324,181603,40994,100827,-50.39896682001277,107.6619075624877,17.0
2326,181649,40996,100817,-46.53279480589712,96.23475553285527,26.0
2328,181691,40989,100820,-53.77601007259845,98.2034863427896,22.0
2329,181707,40994,100826,-49.03138654562101,103.67333419988093,16.0
2330,181723,40995,100838,-47.45658246435576,115.27170658933971,16.0
2331,181748,40981,100807,-60.87965894631107,83.60399096452082,25.0
2332,181778,40996,100813,-45.884651915821294,89.19816648950993,30.0
2334,181805,40973,100814,-68.74467502849986,89.44724933259177,7.0
2336,181841,40983,100800,-57.58088606769896,74.5464477004085,16.0
2337,181873,40994,100807,-46.61294864824936,81.39145626603377,32.0
2338,181884,40967,100817,-73.14107367025885,90.82357078971248,11.0
2340,181925,40985,100816,-54.64954718014916,88.84919149630228,21.0
2341,181953,40988,100806,-50.67755152676799,78.57656559768162,28.0
2342,181968,40980,100807,-58.39676270532068,79.209257126274,15.0
2344,182005,40984,100805,-55.6011896234204,76.23435605444246,17.0
2345,182022,40974,100818,-64.17470068942644,88.31292236176174,17.0
2346,182044,40988,100822,-50.663868680292246,92.68378621606486,22.0
2347,182075,40979,100801,-58.78638030750073,71.02935075967667,31.0
2348,182086,40984,100806,-53.50095956738223,75.53777147091921,11.0
2352,182164,40971,100797,-65.12823716799326,65.29064779849081,18.0
2353,182188,40972,100817,-63.449093094041785,84.51633840891343,24.0
2354,182198,40966,100823,-69.16623550256985,90.04549070769049,10.0
2357,182266,40967,100801,-67.57314877425654,67.34563858914127,28.0
2358,182284,40968,100823,-66.5637275540741,89.13906259344152,18.0
2359,182300,40970,100811,-64.29821031303625,76.4763560440565,16.0
